IP	DNS_Name	Type	Make	Ping	SSH	HTTPS	HTTP	Telnet	sysDescr	sysName	
10.41.160.24	WA-WAN0999-HPB-MNGMNT-NTP.clwr	HPB MNGMNT		Success	Fail	Fail	Fail	Fail	sysDescr ERROR: No response from remote host "10.41.160.22".	sysName ERROR: No response from remote host "10.41.160.23".	
10.41.160.25	WA-WAN0999-FND-SI-4G-NAT-AAASDE.clwr	FND SI	Foundry	Success	Fail	Fail	Success	Fail	Foundry Networks, Inc. Router, IronWare Version 10.0.00cTI4 Compiled on Oct 28 2007 at 00:28:44 labeled as WJR10000c	WA-WAN999-FND-SI-4G-5	
10.41.160.27	WA-WAN0999-INTEL-WWP-DMS-VIP.clwr	INTEL WWP		Success	Fail	Fail	Fail	Fail	sysDescr ERROR: No response from remote host "10.41.160.26".	sysName ERROR: No response from remote host "10.41.160.27".	
10.41.160.28	WA-WAN0999-INTEL-WWP-ESM-FE-VIP.clwr	INTEL WWP		Success	Fail	Fail	Fail	Fail	sysDescr ERROR: No response from remote host "10.41.160.26".	sysName ERROR: No response from remote host "10.41.160.27".	
10.41.160.29	WA-WAN0999-FND-SI-4G-VIP-AAA.clwr	FND SI		Fail	Fail	Fail	Fail	Fail	sysDescr ERROR: No response from remote host "10.41.160.29".	sysName ERROR: No response from remote host "10.41.160.27".	
10.41.160.30	WA-WAN0999-FND-SI-4G.clwr	FND SI		Fail	Fail	Fail	Fail	Fail	sysDescr ERROR: No response from remote host "10.41.160.29".	sysName ERROR: No response from remote host "10.41.160.30".	
10.41.248.120	NC-CLTW1-HPB-LW-1.clwr	HPB LW		Success	Success	Fail	Fail	Success	sysDescr ERROR: No response from remote host "10.41.160.29".	sysName ERROR: No response from remote host "10.41.160.30".	
10.41.248.121	NC-CLTW1-HPB-LW-2.clwr	HPB LW	Linux	Success	Success	Fail	Fail	Fail	Linux NC-CLTW1-LW-2 2.6.18-128.el5 #1 SMP Wed Jan 21 10:41:14 EST 2009 x86_64	NC-CLTW1-HPB-LW-2	
10.41.248.129	NC-CLTW1-HPB-TF-VIRT.clwr	HPB TF		Success	Success	Fail	Fail	Fail	sysDescr ERROR: No response from remote host "10.41.248.128".	sysName ERROR: No response from remote host "10.41.248.129".	
10.41.248.130	NC-CLTW1-HPB-SYSLOG-VIRT.clwr	HPB SYSLOG		Success	Success	Fail	Fail	Fail	sysDescr ERROR: No response from remote host "10.41.248.128".	sysName ERROR: No response from remote host "10.41.248.129".	
10.41.232.67	TX-DALW1-FND-SI-4G-1.clwr	FND SI		Success	Fail	Fail	Success	Fail	sysDescr ERROR: No response from remote host "10.41.232.65".	sysName ERROR: No response from remote host "10.41.232.66".	
10.41.232.68	TX-DALW1-FND-SI-4G-2.clwr	FND SI	Foundry	Success	Fail	Fail	Success	Fail	Foundry Networks, Inc. Router, IronWare Version 10.2.01bTI4 Compiled on Jul 01 2008 at 22:16:32 labeled as WJR10201b	TX-DALW1-FND-SI-4G-2	
10.41.232.77	TX-DALW1-SDV-PTS-1.clwr	SDV PTS		Success	Success	Fail	Fail	Fail	sysDescr ERROR: No response from remote host "10.41.232.75".	sysName ERROR: No response from remote host "10.41.232.76".	
10.41.232.78	TX-DALW1-SDV-PTS-2.clwr	SDV PTS	Sandvine	Success	Success	Fail	Fail	Fail	Sandvine PTS14521	TX-DALW1-SDV-PTS-2.clearwire-wmx.net	
10.41.232.79	TX-DALW1-SDV-PTS-3.clwr	SDV PTS	Sandvine	Success	Success	Fail	Fail	Fail	Sandvine PTS14521	TX-DAL2-SDV-PTS-3.clearwire-wmx.net	
10.41.232.80	TX-DALW1-SDV-PTS-4.clwr	SDV PTS	Sandvine	Success	Success	Fail	Fail	Fail	Sandvine PTS14521	TX-DAL2-SDV-PTS-4.clearwire-wmx.net	
